# TODO: this is ps -ef output on your k40
# TODO: interpret what's going on

UID             PID   PPID C STIME TTY          TIME CMD
root            307      2 0 22:41:36 ?     00:00:00 [ufs_clk_gating_]
root            308      2 0 22:41:36 ?     00:00:00 [ufs_clkscaling_]
root            309      2 0 22:41:36 ?     00:00:00 [spi0]
root            310      2 0 22:41:36 ?     00:00:00 [spi1]
root            311      2 0 22:41:36 ?     00:00:00 [bond0]
root            313      2 0 22:41:36 ?     00:00:00 [irq/249-arm-smm]
root            318      2 0 22:41:36 ?     00:00:00 [k_ipa_usb]
root            321      2 0 22:41:36 ?     00:00:00 [fts_wq]
root            322      2 0 22:41:36 ?     00:00:00 [irq/250-arm-smm]
root            323      2 0 22:41:36 ?     00:00:00 [irq/251-arm-smm]
root            324      2 0 22:41:36 ?     00:00:00 [mhi_w]
root            325      2 0 22:41:36 ?     00:00:01 [irq/402-fts_ts]
root            331      2 0 22:41:37 ?     00:00:00 [irq/436-aw8697]
root            332      2 0 22:41:37 ?     00:00:00 [aw8976_vibrator]
root            333      2 0 22:41:37 ?     00:00:00 [irq/437-i2c_pmi]
root            334      2 0 22:41:37 ?     00:00:00 [msm_cvp_workerq]
root            335      2 0 22:41:37 ?     00:00:00 [pm_workerq_iris]
root            336      2 0 22:41:37 ?     00:00:00 [irq/252-arm-smm]
root            337      2 0 22:41:37 ?     00:00:00 [irq/253-arm-smm]
root            338      2 0 22:41:37 ?     00:00:00 [irq/254-arm-smm]
root            339      2 0 22:41:37 ?     00:00:00 [irq/255-arm-smm]
root            340      2 0 22:41:37 ?     00:00:00 [npu_general_wq]
root            341      2 0 22:41:37 ?     00:00:00 [irq/59-ptrain-d]
root            342      2 0 22:41:37 ?     00:00:00 [irq/441-soc-upd]
root            343      2 0 22:41:37 ?     00:00:00 [irq/442-soc-rea]
root            344      2 0 22:41:37 ?     00:00:00 [irq/443-bsoc-de]
root            345      2 0 22:41:37 ?     00:00:00 [irq/444-msoc-de]
root            346      2 0 22:41:37 ?     00:00:00 [irq/445-msoc-lo]
root            347      2 0 22:41:37 ?     00:00:00 [irq/446-msoc-em]
root            348      2 0 22:41:37 ?     00:00:00 [irq/447-msoc-hi]
root            349      2 0 22:41:37 ?     00:00:00 [irq/448-msoc-fu]
root            350      2 0 22:41:37 ?     00:00:00 [irq/449-vbatt-l]
root            351      2 0 22:41:37 ?     00:00:00 [irq/450-vbatt-p]
root            352      2 0 22:41:37 ?     00:00:00 [irq/451-esr-del]
root            353      2 0 22:41:37 ?     00:00:00 [irq/452-batt-mi]
root            354      2 0 22:41:37 ?     00:00:00 [irq/453-batt-id]
root            355      2 0 22:41:37 ?     00:00:00 [irq/454-batt-te]
root            356      2 0 22:41:37 ?     00:00:00 [irq/455-batt-te]
root            357      2 0 22:41:37 ?     00:00:00 [irq/456-batt-te]
root            358      2 0 22:41:37 ?     00:00:00 [irq/457-ima-rdy]
root            359      2 0 22:41:37 ?     00:00:00 [irq/458-ima-xcp]
root            360      2 0 22:41:37 ?     00:00:00 [irq/459-dma-xcp]
root            361      2 0 22:41:37 ?     00:00:00 [irq/460-dma-gra]
root            362      2 0 22:41:37 ?     00:00:00 [irq/461-mem-att]
root            364      2 0 22:41:37 ?     00:00:00 [irq/462-bq2597x]
root            365      2 0 22:41:37 ?     00:00:00 [irq/55-bcl-lvl0]
root            366      2 0 22:41:37 ?     00:00:00 [irq/56-bcl-lvl1]
root            367      2 0 22:41:37 ?     00:00:00 [irq/57-bcl-lvl2]
root            368      2 0 22:41:37 ?     00:00:00 [irq/78-bcl-lvl0]
root            369      2 0 22:41:37 ?     00:00:00 [irq/79-bcl-lvl1]
root            370      2 0 22:41:37 ?     00:00:00 [irq/80-bcl-lvl2]
root            371      2 0 22:41:37 ?     00:00:00 [kworker/0:1H-kblockd]
root            372      2 0 22:41:37 ?     00:00:00 [kworker/1:1H-kblockd]
root            373      2 0 22:41:37 ?     00:00:00 [kworker/2:1H-kblockd]
root            374      2 0 22:41:37 ?     00:00:00 [kworker/3:1H-kblockd]
root            375      2 0 22:41:37 ?     00:00:00 [kworker/4:1H-kblockd]
root            376      2 0 22:41:37 ?     00:00:00 [kworker/5:1H-kblockd]
root            377      2 0 22:41:37 ?     00:00:00 [kworker/6:1H-kblockd]
root            378      2 0 22:41:37 ?     00:00:00 [kworker/7:1H-kblockd]
root            379      2 0 22:41:37 ?     00:00:00 [dm_bufio_cache]
root            380      2 0 22:41:37 ?     00:00:00 [irq/91-KRYO L3-]
root            381      2 0 22:41:37 ?     00:00:00 [mi_reclaim]
root            382      2 0 22:41:37 ?     00:00:00 [memlat_wq]
root            383      2 0 22:41:37 ?     00:00:00 [irq/256-arm-smm]
root            384      2 0 22:41:37 ?     00:00:00 [irq/466-mdm sta]
root            385      2 0 22:41:37 ?     00:00:00 [irq/257-arm-smm]
root            386      2 0 22:41:37 ?     00:00:00 [uaudio_svc]
root            387      2 0 22:41:37 ?     00:00:00 [dsi_dma_cmd_wor]
root            388      2 0 22:41:37 ?     00:00:00 [dsi_dma_cmd_wor]
root            389      2 0 22:41:37 ?     00:00:00 [irq/234-arm-smm]
root            390      2 0 22:41:37 ?     00:00:00 [irq/258-arm-smm]
root            391      2 0 22:41:37 ?     00:00:00 [irq/467-esd_err]
root            392      2 0 22:41:37 ?     00:00:01 [crtc_commit:128]
root            393      2 0 22:41:37 ?     00:00:00 [crtc_event:128]
root            394      2 0 22:41:37 ?     00:00:00 [crtc_commit:181]
root            395      2 0 22:41:37 ?     00:00:00 [crtc_event:181]
